OBJECTID,Lon,Lat,g_number,AREA,PERCENTAGE
1,141.37500000000,-38.37500000000,237207,0.00075617621,1.20988194190
2,141.37500000000,-38.12500000000,237202,0.01392580664,22.28129061610
3,141.37500000000,-38.12500000000,237207,0.01483774161,23.74038657020
4,141.37500000000,-38.12500000000,238235,0.00420974430,6.73559088486
5,141.37500000000,-37.87500000000,238230,0.01054923176,16.87877080920
6,141.37500000000,-37.87500000000,238235,0.00436737091,6.98779346198
7,141.37500000000,-37.37500000000,238223,0.00724469173,11.59150677010
8,141.37500000000,-37.37500000000,238229,0.00057002348,0.91203756754
9,141.62500000000,-38.37500000000,237207,0.00001990178,0.03184285599
10,141.62500000000,-38.12500000000,237202,0.01319561956,21.11299129060
11,141.62500000000,-38.12500000000,237205,0.00267911411,4.28658258312
12,141.62500000000,-38.12500000000,237207,0.01483052198,23.72883516520
13,141.62500000000,-38.12500000000,238235,0.00328294556,5.25271289257
14,141.62500000000,-37.87500000000,237205,0.00096658519,1.54653630890
15,141.62500000000,-37.87500000000,238230,0.00904792267,14.47667626880
16,141.62500000000,-37.87500000000,238235,0.04435626781,70.97002849610
17,141.62500000000,-37.37500000000,238223,0.01043149887,16.69039818990
18,141.62500000000,-37.37500000000,238229,0.00652719324,10.44350918790
19,141.87500000000,-38.37500000000,237206,0.00007417507,0.11868011146
20,141.87500000000,-38.12500000000,237205,0.01922467144,30.75947429610
21,141.87500000000,-38.12500000000,237206,0.01603737365,25.65979783270
22,141.87500000000,-37.87500000000,237205,0.04283645155,68.53832248240
23,141.87500000000,-37.87500000000,237206,0.00046440626,0.74305002354
24,141.87500000000,-37.87500000000,238219,0.00612074292,9.79318867412
25,141.87500000000,-37.87500000000,238235,0.00665212743,10.64340389020
26,141.87500000000,-37.62500000000,238219,0.01310622874,20.96996597740
27,142.12500000000,-38.37500000000,237200,0.00410455671,6.56729074138
28,142.12500000000,-38.12500000000,237200,0.02162179242,34.59486786980
29,142.12500000000,-38.12500000000,237206,0.01615568393,25.84909428400
30,142.12500000000,-37.87500000000,237200,0.00410014819,6.56023710696
31,142.12500000000,-37.87500000000,237205,0.01100440131,17.60704209700
32,142.12500000000,-37.87500000000,237206,0.01387306014,22.19689621610
33,142.12500000000,-37.87500000000,238219,0.03297270408,52.75632652760
34,142.12500000000,-37.62500000000,238219,0.02815874444,45.05399111150
35,142.12500000000,-36.87500000000,415223,0.00050972172,0.81555474774
36,142.37500000000,-38.37500000000,236205,0.00397976279,6.36762046290
37,142.37500000000,-38.37500000000,237200,0.00085243978,1.36390365597
38,142.37500000000,-38.12500000000,236205,0.03411273541,54.58037666070
39,142.37500000000,-38.12500000000,236209,0.00071689544,1.14703271087
40,142.37500000000,-38.12500000000,236210,0.00071689544,1.14703271087
41,142.37500000000,-38.12500000000,237200,0.02489271416,39.82834266230
42,142.37500000000,-37.87500000000,236205,0.01788133357,28.61013371010
43,142.37500000000,-37.87500000000,236209,0.02471562574,39.54500118400
44,142.37500000000,-37.87500000000,236210,0.02471562574,39.54500118400
45,142.37500000000,-37.87500000000,237200,0.00285672624,4.57076198779
46,142.37500000000,-37.87500000000,237206,0.00040054737,0.64087579481
47,142.37500000000,-37.87500000000,238219,0.01664584543,26.63335268240
48,142.37500000000,-37.62500000000,236209,0.00310468041,4.96748865205
49,142.37500000000,-37.62500000000,236210,0.00310468041,4.96748865205
50,142.37500000000,-37.62500000000,238219,0.01658819295,26.54110871740
51,142.37500000000,-36.87500000000,415223,0.00853723353,13.65957364810
52,142.62500000000,-38.37500000000,236205,0.00881841203,14.10945924250
53,142.62500000000,-38.37500000000,236209,0.00982686827,15.72298922840
54,142.62500000000,-38.37500000000,236212,0.00654699473,10.47519156570
55,142.62500000000,-38.12500000000,236205,0.02643116830,42.28986928640
56,142.62500000000,-38.12500000000,236209,0.03606891186,57.71025897000
57,142.62500000000,-38.12500000000,236210,0.03439557214,55.03291542350
58,142.62500000000,-37.87500000000,236209,0.06250000000,100.00000000000
59,142.62500000000,-37.87500000000,236210,0.06250000000,100.00000000000
60,142.62500000000,-37.62500000000,236202,0.02711520366,43.38432585720
61,142.62500000000,-37.62500000000,236209,0.05192562687,83.08100298970
62,142.62500000000,-37.62500000000,236210,0.05192562687,83.08100298970
63,142.62500000000,-37.37500000000,236202,0.02213562346,35.41699753470
64,142.62500000000,-37.37500000000,236209,0.02213562346,35.41699753470
65,142.62500000000,-37.37500000000,236210,0.02213562346,35.41699753470
66,142.62500000000,-37.37500000000,238208,0.00226287392,3.62059826887
67,142.62500000000,-37.12500000000,415201,0.00083160902,1.33057442690
68,142.62500000000,-36.87500000000,415201,0.01145231960,18.32371135220
69,142.87500000000,-38.62500000000,235203,0.00002574690,0.04119503668
70,142.87500000000,-38.37500000000,235203,0.00520402094,8.32643350890
71,142.87500000000,-38.37500000000,236209,0.02456310577,39.30096922990
72,142.87500000000,-38.37500000000,236212,0.01679951832,26.87922931980
73,142.87500000000,-38.37500000000,236216,0.00980164089,15.68262542220
74,142.87500000000,-38.12500000000,236209,0.06250000000,100.00000000000
75,142.87500000000,-38.12500000000,236210,0.03484731954,55.75571126270
76,142.87500000000,-38.12500000000,236216,0.01550321984,24.80515174060
77,142.87500000000,-37.87500000000,236209,0.06250000000,100.00000000000
78,142.87500000000,-37.87500000000,236210,0.04991980718,79.87169149250
79,142.87500000000,-37.87500000000,236216,0.01258023195,20.12837112750
80,142.87500000000,-37.62500000000,236202,0.01740972781,27.85556449900
81,142.87500000000,-37.62500000000,236204,0.00329104206,5.26566729982
