OBJECTID,Lon,Lat,g_number,AREA,PERCENTAGE
1,141.36000000000,-38.24000000000,237207,0.00217390523,33.96726918730
2,141.36000000000,-38.16000000000,237202,0.00001127281,0.17613767097
3,141.36000000000,-38.16000000000,237207,0.00346700437,54.17194325560
4,141.36000000000,-38.08000000000,237202,0.00230350291,35.99223289480
5,141.36000000000,-38.08000000000,237207,0.00013546230,2.11659847887
6,141.36000000000,-38.08000000000,238235,0.00002518257,0.39347764932
7,141.36000000000,-38.00000000000,237202,0.00030858710,4.82167346155
8,141.36000000000,-38.00000000000,238235,0.00018890591,2.95165490537
9,141.36000000000,-37.84000000000,238230,0.00000023952,0.00374251656
10,141.44000000000,-38.24000000000,237207,0.00462209889,72.22029515270
11,141.44000000000,-38.16000000000,237202,0.00265165728,41.43214505350
12,141.44000000000,-38.16000000000,237207,0.00374834272,58.56785494630
13,141.44000000000,-38.08000000000,237202,0.00599624672,93.69135502140
14,141.44000000000,-38.08000000000,238235,0.00040375328,6.30864497841
15,141.44000000000,-38.00000000000,237202,0.00010191691,1.59245179642
16,141.44000000000,-38.00000000000,238235,0.00394641820,61.66278440280
17,141.44000000000,-37.92000000000,238230,0.00152179555,23.77805540880
18,141.44000000000,-37.92000000000,238235,0.00119717156,18.70580562030
19,141.44000000000,-37.84000000000,238230,0.00526302190,82.23471715760
20,141.44000000000,-37.76000000000,238230,0.00105366424,16.46350379600
21,141.44000000000,-37.52000000000,238223,0.00054377494,8.49648340758
22,141.44000000000,-37.44000000000,238223,0.00485628080,75.87938756190
23,141.44000000000,-37.36000000000,238223,0.00027051421,4.22678460740
24,141.44000000000,-37.36000000000,238229,0.00001942996,0.30359308001
25,141.44000000000,-37.28000000000,238229,0.00000679121,0.10611259948
26,141.52000000000,-38.24000000000,237207,0.00306750506,47.92976660470
27,141.52000000000,-38.16000000000,237202,0.00270723848,42.30060122210
28,141.52000000000,-38.16000000000,237207,0.00368805567,57.62586990810
29,141.52000000000,-38.08000000000,237202,0.00609224130,95.19127025920
30,141.52000000000,-38.08000000000,238235,0.00030787700,4.81057806561
31,141.52000000000,-38.00000000000,237202,0.00014875050,2.32422656742
32,141.52000000000,-38.00000000000,238235,0.00625124950,97.67577343230
33,141.52000000000,-37.92000000000,238230,0.00108374946,16.93358527340
34,141.52000000000,-37.92000000000,238235,0.00531625054,83.06641472640
35,141.52000000000,-37.84000000000,238230,0.00615134643,96.11478789820
36,141.52000000000,-37.84000000000,238235,0.00024865357,3.88521210168
37,141.52000000000,-37.76000000000,238230,0.00216572290,33.83942036950
38,141.52000000000,-37.44000000000,238223,0.00331462374,51.79099593700
39,141.52000000000,-37.44000000000,238229,0.00027755033,4.33672385989
40,141.52000000000,-37.36000000000,238223,0.00093351607,14.58618860700
41,141.52000000000,-37.36000000000,238229,0.00392503601,61.32868760240
42,141.52000000000,-37.28000000000,238229,0.00009616883,1.50263801572
43,141.60000000000,-38.24000000000,237207,0.00359938666,56.24041656440
44,141.60000000000,-38.16000000000,237202,0.00052697909,8.23404825446
45,141.60000000000,-38.16000000000,237207,0.00364938816,57.02169006840
46,141.60000000000,-38.08000000000,237202,0.00489608469,76.50132333100
47,141.60000000000,-38.00000000000,237202,0.00137694840,21.51481871300
48,141.60000000000,-38.00000000000,238235,0.00394812545,61.68946014350
49,141.60000000000,-37.92000000000,238235,0.00640000000,99.99999999980
50,141.60000000000,-37.84000000000,238230,0.00107225945,16.75405390990
51,141.60000000000,-37.84000000000,238235,0.00532782046,83.24719467840
52,141.60000000000,-37.76000000000,238230,0.00128535498,20.08367153950
53,141.60000000000,-37.76000000000,238235,0.00042449555,6.63274292044
54,141.60000000000,-37.44000000000,238223,0.00360456418,56.32131536720
55,141.60000000000,-37.44000000000,238229,0.00074970869,11.71419830450
56,141.60000000000,-37.36000000000,238223,0.00018921205,2.95643821399
57,141.60000000000,-37.36000000000,238229,0.00202253170,31.60205783000
58,141.68000000000,-38.24000000000,237207,0.00166684155,26.04439923920
59,141.68000000000,-38.16000000000,237207,0.00062635097,9.78673383094
60,141.68000000000,-38.08000000000,237205,0.00006212563,0.97071291973
61,141.68000000000,-38.00000000000,237205,0.00024070492,3.76101442911
62,141.68000000000,-38.00000000000,238235,0.00263670699,41.19854673770
63,141.68000000000,-37.92000000000,238235,0.00640000000,100.00000000000
64,141.68000000000,-37.84000000000,238235,0.00640000000,100.00000000000
65,141.68000000000,-37.76000000000,238235,0.00146207772,22.84496440370
66,141.68000000000,-37.44000000000,238223,0.00379182450,59.24725782500
67,141.68000000000,-37.36000000000,238223,0.00017188010,2.68562657591
68,141.76000000000,-38.16000000000,237205,0.00087183741,13.62245953190
69,141.76000000000,-38.08000000000,237205,0.00517372160,80.83940003020
70,141.76000000000,-38.00000000000,237205,0.00540237549,84.41211699840
71,141.76000000000,-38.00000000000,238235,0.00074900707,11.70323547320
72,141.76000000000,-37.92000000000,237205,0.00457043092,71.41298307210
73,141.76000000000,-37.92000000000,238235,0.00182956908,28.58701692800
74,141.76000000000,-37.84000000000,237205,0.00033314389,5.20537321181
75,141.76000000000,-37.84000000000,238235,0.00606685611,94.79462678830
76,141.76000000000,-37.76000000000,238235,0.00148883961,23.26311885540
77,141.84000000000,-38.16000000000,237205,0.00000507081,0.07923145413
78,141.84000000000,-38.16000000000,237206,0.00000128559,0.02008729543
79,141.84000000000,-38.08000000000,237205,0.00574448229,89.75753584730
80,141.84000000000,-38.08000000000,237206,0.00015306998,2.39171836385
81,141.84000000000,-38.00000000000,237205,0.00640000000,99.99999999980
