OBJECTID,Lon,Lat,g_number,AREA,PERCENTAGE
1,141.37481689500,-38.29196166990,237207,0.00021681777,3.12141417493
2,141.37481689500,-38.20864868160,237207,0.00473917754,68.22750757460
3,141.37481689500,-38.12533569340,237202,0.00139319784,20.05715458270
4,141.37481689500,-38.12533569340,237207,0.00288123439,41.47965330990
5,141.37481689500,-38.04205322270,237202,0.00254592728,36.67928008770
6,141.37481689500,-38.04205322270,238235,0.00078608084,11.32509925900
7,141.37481689500,-37.87545776370,238230,0.00060468062,8.70527666219
8,141.37481689500,-37.79214477540,238230,0.00000387611,0.05580240960
9,141.37481689500,-37.45895385740,238223,0.00039702788,5.71580676222
10,141.45809936500,-38.29196166990,237207,0.00050979023,7.35534212512
11,141.45809936500,-38.20864868160,237202,0.00035675095,5.14726476100
12,141.45809936500,-38.20864868160,237207,0.00639774647,92.30779936900
13,141.45809936500,-38.12533569340,237202,0.00610532919,88.08875199050
14,141.45809936500,-38.12533569340,237207,0.00082555484,11.91124890980
15,141.45809936500,-38.04205322270,237202,0.00348677993,50.34475015370
16,141.45809936500,-38.04205322270,238235,0.00337937601,48.79397156870
17,141.45809936500,-37.95877075200,238235,0.00380572965,54.90972964560
18,141.45809936500,-37.87545776370,238230,0.00572585648,82.61365364050
19,141.45809936500,-37.87545776370,238235,0.00056403618,8.13801220497
20,141.45809936500,-37.79214477540,238230,0.00417277132,60.20547074770
21,141.45809936500,-37.45895385740,238223,0.00500211555,72.17139353060
22,141.45809936500,-37.37564086910,238223,0.00182151203,26.28109256820
23,141.45809936500,-37.37564086910,238229,0.00017642535,2.54549563503
24,141.45809936500,-37.29229736330,238229,0.00038410865,5.53792929054
25,141.54141235400,-38.29196166990,237207,0.00000584554,0.08409373636
26,141.54141235400,-38.20864868160,237207,0.00602666730,86.69936758330
27,141.54141235400,-38.12533569340,237202,0.00483223759,69.51635489450
28,141.54141235400,-38.12533569340,237207,0.00169508951,24.38548230270
29,141.54141235400,-38.04205322270,237202,0.00405690633,58.40526162940
30,141.54141235400,-38.04205322270,238235,0.00288934349,41.59644051140
31,141.54141235400,-37.95877075200,238235,0.00695122399,99.99999895080
32,141.54141235400,-37.87545776370,238230,0.00335523286,48.26823059790
33,141.54141235400,-37.87545776370,238235,0.00359599113,51.73176835290
34,141.54141235400,-37.79214477540,238230,0.00459925509,66.16467902820
35,141.54141235400,-37.79214477540,238235,0.00027845490,4.00583985077
36,141.54141235400,-37.45895385740,238223,0.00215407059,30.98836366910
